ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Cursor editor,,CORE
2,VS Code fork,1,CORE
3,Cursor Settings,1,CORE
4,Command palette,1,CORE
5,Keyboard shortcuts,1,CORE
6,Status bar indicator,1,CORE
7,Integrated terminal,1,CORE
8,Three entry points,1,CORE
9,Chat,1|8,CORE
10,Chat input box,9,CORE
11,Open Chat (Cmd+I),9|5,CORE
12,Conversation history,9,CORE
13,Queued messages,10,CORE
14,Stop / cancel generation,9,CORE
15,New chat (reset context),9|77,CORE
16,Slash commands,10,CORE
17,Image input,10,CORE
18,Workspace,1,CORE
19,Diff view,1,CORE
20,Real-time diffs,19,CORE
21,Tab autocomplete,1|8,TAB
22,Ghost text,21,TAB
23,Accept suggestion (Tab),22|5,TAB
24,Word-by-word partial accept,23,TAB
25,Multi-line edits (Tab),21,TAB
26,Auto-import,25,TAB
27,Next cursor prediction,23,TAB
28,Cross-file edits (Tab),27,TAB
29,Tab in peek,21,TAB
30,Linter-aware suggestions,21,TAB
31,Recent-edits context,21,TAB
32,Tab model,21,TAB
33,Cmd-K inline edit,1|8,TAB
34,Selected-code context,33,TAB
35,Follow-up instructions (inline),33,TAB
36,Quick question mode (Opt+Enter),33,TAB
37,Send to Agent (Cmd+L),34|42,TAB
38,Terminal Cmd-K,33|7,TAB
39,Run generated command (Cmd+Enter),38,TAB
40,Agent,9|52|151,AGENT
41,Composer,40,AGENT
42,Agent mode,40,AGENT
43,Ask mode,42,AGENT
44,Manual mode,42,AGENT
45,Plan mode,42,AGENT
46,Mode switching (Shift+Tab),42|43|44|45|5,AGENT
47,Implementation plan,45,AGENT
48,Clarifying questions,45|61,AGENT
49,Agent iteration loop,40|52,AGENT
50,System prompt,40,AGENT
51,Instructions,50|111,AGENT
52,Tools,40,AGENT
53,Read file tool,52,AGENT
54,Edit file tool,52|174,AGENT
55,Search files tool (grep),52,AGENT
56,Semantic search tool,52|98,AGENT
57,Terminal tool,52|7,AGENT
58,Web search tool,52,AGENT
59,Fetch rules tool,52|111,AGENT
60,Browser tool,52,AGENT
61,Ask Questions tool,52,AGENT
62,Subagents,40|52,AGENT
63,Explore subagent,62|56,AGENT
64,Todos,40|47,AGENT
