ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Claude API,,CORE
2,Anthropic Console,1,CORE
3,API base URL (api.anthropic.com),1,CORE
4,RESTful API design,1,CORE
5,anthropic-version header,3,CORE
6,content-type application/json header,3,CORE
7,API key,2,CORE
8,Authorization Bearer header,3,CORE
9,Workload Identity Federation,8|2,CORE
10,Client SDKs,1,CORE
11,beta headers (anthropic-beta),5,CORE
12,request-id response header,4,CORE
13,cloud platform access,1,CORE
14,Claude Platform on AWS,13|9,CORE
15,Amazon Bedrock,13,CORE
16,Google Vertex AI,13,CORE
17,Claude model family,1,MODEL
18,model parameter,17,MODEL
19,model ID (pinned snapshot),17,MODEL
20,model alias,19,MODEL
21,dateless model ID format,19,MODEL
22,Claude Opus tier,17,MODEL
23,Claude Sonnet tier,17,MODEL
24,Claude Haiku tier,17,MODEL
25,claude-opus-4-8,22|21,MODEL
26,claude-opus-4-7,22|21,MODEL
27,claude-opus-4-6,22|21,MODEL
28,claude-sonnet-4-6,23|21,MODEL
29,claude-haiku-4-5-20251001,24|19,MODEL
30,claude-haiku-4-5 (alias),29|20,MODEL
31,claude-fable-5,17|21,MODEL
32,claude-mythos-5,17|21,MODEL
33,context window,17,MODEL
34,1M token context window,33,MODEL
35,max output tokens,17,MODEL
36,token pricing (per MTok),17,MODEL
37,choosing a model,22|23|24,MODEL
38,knowledge cutoff,17,MODEL
39,Messages API,1|5|6,MSG
40,POST /v1/messages,39|3,MSG
41,messages parameter,40,MSG
42,max_tokens parameter,40,MSG
43,message role,41,MSG
44,user role,43,MSG
45,assistant role,43,MSG
46,content block,41,MSG
47,system prompt,40,MSG
48,mid-conversation system message,47|43|11,MSG
49,temperature parameter,40,MSG
50,top_p parameter,40,MSG
51,stop_sequences parameter,40,MSG
52,stateless conversation model,41,MSG
53,multi-turn conversation,52|44|45,MSG
54,message response object,40,MSG
55,usage object,54,MSG
56,input_tokens,55,MSG
57,output_tokens,55,MSG
58,stop_reason,54,MSG
59,end_turn stop reason,58,MSG
60,max_tokens stop reason,58|42,MSG
61,refusal stop reason,58,MSG
62,stop_details,61,MSG
63,pause_turn stop reason,58,MSG
64,streaming (stream parameter),40,MSG
65,Server-Sent Events (SSE),64,MSG
66,content_block_start event,65|46,MSG
67,content_block_delta event,66,MSG
68,Token Counting API,39,MSG
69,POST /v1/messages/count_tokens,68|3,MSG
70,Models API,1,MSG
71,GET /v1/models,70|3,MODEL
72,GET /v1/models/{id},70,MODEL
73,model capabilities object,72,MODEL
74,tool use,39,TOOL
75,tools parameter,74|40,TOOL
76,tool definition,75,TOOL
77,tool name,76,TOOL
78,tool description,76,TOOL
79,input_schema (JSON Schema),76,TOOL
80,tool_use content block,76|46,TOOL
81,tool_use stop reason,58|80,TOOL
82,tool_result content block,80|44,TOOL
83,client tools,74,TOOL
84,server tools,74,TOOL
85,agentic loop,81|82,TOOL
86,tool_choice parameter,75,TOOL
87,tool_choice auto,86,TOOL
88,tool_choice any,86,TOOL
89,parallel tool use,85,TOOL
90,tool runner (SDK helper),85|10,TOOL
91,web_search tool,84,TOOL
92,web_search_20260209,91,TOOL
93,web_fetch tool,84,TOOL
94,web_fetch_20260209,93,TOOL
95,code execution tool,84,TOOL
