ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Moonshot AI,,CORE
2,Kimi,1,CORE
3,Kimi OpenPlatform,2|1,CORE
4,Long-Context LLM,2,CORE
5,256K Context Window,4,CORE
6,API Base URL,3,CORE
7,api.moonshot.ai,6,CORE
8,api.moonshot.cn,6,CORE
9,v1 Path Prefix,7,CORE
10,OpenAI-SDK Compatibility,9|7,CORE
11,OpenAI Base URL Override,10|9,CORE
12,OpenAI Python SDK,10,CORE
13,OpenAI Node SDK,10,CORE
14,Anthropic-Compatible Endpoint,6|7,CORE
15,anthropic Path Prefix,14,CORE
16,Anthropic Messages Endpoint,15|14,CORE
17,Migrating from OpenAI,10|11,CORE
18,API Key,3,CORE
19,Console,3,CORE
20,API Key Creation,18|19,CORE
21,MOONSHOT_API_KEY,18,CORE
22,Bearer Authentication,18,CORE
23,Organization Setup,3|18,CORE
24,llms.txt Doc Index,3,CORE
25,Model ID,3,MODEL
26,List Models Endpoint,25|9,MODEL
27,Kimi K2 Family,2|25,MODEL
28,kimi-k2.5,27,MODEL
29,kimi-k2.6,27,MODEL
30,kimi-k2.7-code,27,MODEL
31,kimi-k2.7-code-highspeed,30,MODEL
32,Latest Model kimi-k2.6,29,MODEL
33,Code Model kimi-k2.7-code,30,MODEL
34,Highspeed Variant,31|30,MODEL
35,Agentic Model,27,MODEL
36,300-Step Tool Calling,35|29,MODEL
37,Moonshot V1 Family,2|25,MODEL
38,moonshot-v1-8k,37,MODEL
39,moonshot-v1-32k,37,MODEL
40,moonshot-v1-128k,37,MODEL
41,moonshot-v1-vision-preview,37,MODEL
42,Multimodal Model,28|29,MODEL
43,Context Window Sizes,25|5,MODEL
44,Model Capabilities,25,MODEL
45,Model Selection,25|44,MODEL
46,Model Inference Pricing,25,MODEL
47,Per-Million-Token Pricing,46,MODEL
48,Input Token Price,47,MODEL
49,Output Token Price,47,MODEL
50,Cache-Hit Price,47,MODEL
51,Limited-Time Promotions,46,MODEL
52,Model Parameter Reference,25|44,MODEL
53,Chat Completions Endpoint,9|22|25,MODEL
54,chat/completions Path,53,MODEL
55,messages Array,53,MODEL
56,Message Object,55,MODEL
57,role Field,56,MODEL
58,system Role,57,MODEL
59,user Role,57,MODEL
60,assistant Role,57,MODEL
61,System Prompt,58,MODEL
62,content Field,56,MODEL
63,String Content,62,MODEL
64,model Field,53|25,MODEL
65,temperature,53|37,MODEL
66,top_p,53|37,MODEL
67,n Parameter,53|37,MODEL
68,max_completion_tokens,53,MODEL
69,max_tokens,68,MODEL
70,stop Sequences,53,MODEL
71,presence_penalty,53|37,MODEL
72,frequency_penalty,53|37,MODEL
73,Sampling Parameters,65|66,MODEL
74,Completion Response,53,MODEL
75,choices Array,74,MODEL
76,choice index,75,MODEL
77,response message,75|56,MODEL
78,finish_reason,75,MODEL
79,finish_reason stop,78,MODEL
80,finish_reason length,78|68,MODEL
81,usage Object,74,MODEL
82,prompt_tokens,81,MODEL
83,completion_tokens,81,MODEL
84,total_tokens,81,MODEL
85,stream Parameter,53,MODEL
86,Server-Sent Events,85,MODEL
87,Streaming Delta,86|77,MODEL
88,stream_options,85,MODEL
89,include_usage,88|81,MODEL
90,DONE Sentinel,86,MODEL
91,Automatic Reconnection,86,MODEL
92,Multi-Turn Chat,55|60,MODEL
93,Partial Mode,60|62,PARTIAL
94,partial Flag,93,PARTIAL
95,Prefix Completion,94|77,PARTIAL
96,Prefill Assistant Message,93|60,PARTIAL
97,Manual Prefix Concatenation,95|77,PARTIAL
98,Format Control via Prefix,95,PARTIAL
99,JSON Forcing via Prefix,98,PARTIAL
100,name Field,56,PARTIAL
101,Role-Play Consistency,93|100,PARTIAL
